Date,Open,High,Low,Close,Volume
1/3/2006,6.999730475,7.228929,6.987158039,7.228929,201808600
1/4/2006,7.265678197,7.347879681,7.204752781,7.250205,154900900
1/5/2006,7.236663819,7.243433382,7.132218925,7.193145,112355600
1/6/2006,7.277281537,7.417508321,7.209585894,7.378825,176114400
1/9/2006,7.420411268,7.465863485,7.324669979,7.354649,168760200
1/10/2006,7.373992021,7.919424747,7.333373948,7.819816,569967300
1/11/2006,8.108004806,8.200843974,7.987120007,8.113807,373448600
1/12/2006,8.217286596,8.355578678,8.086730098,8.151525,320202400
1/13/2006,8.219220343,8.317862395,8.181503707,8.277245,194076400
1/17/2006,8.287882615,8.353644208,8.110906533,8.192142,208905900
1/18/2006,8.034508293,8.128315532,7.915557529,7.977451,300159300
1/19/2006,7.857530988,7.897181688,7.614793995,7.643807,423962000
1/20/2006,7.667014506,7.740513016,7.333371809,7.358516,283689700
1/23/2006,7.359484445,7.694094593,7.349813444,7.511317,264932500
1/24/2006,7.616728353,7.680555877,7.32757111,7.353682,285563600
1/25/2006,7.484238236,7.494875253,7.083866524,7.175739,318946600
1/26/2006,7.207652282,7.294689937,6.956211673,6.994895,295346800
1/27/2006,7.054854724,7.117714879,6.875944582,6.965883,238466200
1/30/2006,6.882714916,7.407839655,6.853702585,7.253107,349600300
1/31/2006,7.301460629,7.382695425,7.132221471,7.302428,228385500
2/1/2006,7.248269788,7.394298777,7.218290094,7.293722,130296600
2/2/2006,7.262776603,7.287920799,6.9678165,6.972652,176830500
2/3/2006,6.986191959,7.039381115,6.870141969,6.948476,173030900
2/6/2006,6.96491424,7.01230119,6.454296163,6.508452,412941900
2/7/2006,6.602260217,6.719276892,6.44849428,6.537466,347207700
2/8/2006,6.623536608,6.680593892,6.382733681,6.654483,238278600
2/9/2006,6.682527403,6.695099839,6.240572287,6.281189,287441000
2/10/2006,6.303431326,6.54423419,6.082936477,6.509419,440119400
2/13/2006,6.443660735,6.455265126,6.251210756,6.257981,220874500
2/14/2006,6.29569559,6.585820197,6.286024589,6.541334,290234700
2/15/2006,6.494913212,6.732814642,6.455262522,6.694132,289942800
2/16/2006,6.760860488,6.867239449,6.719275732,6.824688,237043800
2/17/2006,6.798576694,6.855634644,6.731847744,6.79761,143999800
2/21/2006,6.826623687,6.846931707,6.641911348,6.680594,194901700
2/22/2006,6.672855996,6.931066823,6.576148703,6.897219,244559700
2/23/2006,6.94267413,7.059691509,6.907859602,6.938806,214229400
2/24/2006,6.976521267,7.049051746,6.88561548,6.910759,133686000
2/27/2006,6.962013971,6.974585729,6.83242487,6.865306,197810200
2/28/2006,6.922365276,7.001665326,6.58582104,6.623537,316745100
3/1/2006,6.657383483,6.720243629,6.578082772,6.682527,190954400
3/2/2006,6.67189028,6.768598264,6.640943888,6.731849,156318400
3/3/2006,6.711540565,6.760861586,6.530695692,6.549071,184417100
3/6/2006,6.546170354,6.54907179,6.280223214,6.332445,228166400
3/7/2006,6.359523844,6.469770963,6.293762249,6.412713,218219400
3/8/2006,6.410778085,6.498782431,6.319872304,6.349852,163312800
3/9/2006,6.380798453,6.428185408,6.170941935,6.182547,199826200
3/10/2006,6.194151843,6.236703297,6.039419222,6.110983,260785700
3/13/2006,6.290860906,6.409812335,6.265716707,6.351787,215296900
3/14/2006,6.360489887,6.510387,6.334377646,6.510387,160505100
3/15/2006,6.548104584,6.58001835,6.336313967,6.404977,222999000
3/16/2006,6.464935437,6.469770938,6.218330306,6.219297,187409600
3/17/2006,6.261846628,6.338245896,6.199953182,6.253143,203010500
3/20/2006,6.307301081,6.330511893,6.176745932,6.188351,151360300
3/21/2006,5.977528,6.22219912,5.936910596,5.977528,336341600
3/22/2006,6.011374965,6.116786591,5.925304667,5.963988,336473900
3/23/2006,5.978493502,5.986229761,5.764768849,5.817958,356956600
3/24/2006,5.82666196,5.89339093,5.708679248,5.798617,267995000
3/27/2006,5.836331094,5.935941171,5.74445863,5.755097,277018000
3/28/2006,5.766703732,5.816024761,5.633245796,5.677732,342580700
3/29/2006,5.718348732,6.046189308,5.577154551,6.027814,586708500
3/30/2006,6.075201565,6.121621152,5.950447953,6.068432,347662700
3/31/2006,6.116786091,6.151601291,6.01911141,6.065531,203839300
4/3/2006,6.157403722,6.200921873,6.054892193,6.058761,203947800
4/4/2006,6.005569388,6.017175127,5.904026615,5.915631,232981000
4/5/2006,6.257978753,6.499749,6.20382224,6.499749,558352200
4/6/2006,6.605161274,6.967816343,6.595490274,6.889483,665942200
4/7/2006,6.859504116,6.886582379,6.621601946,6.749257,386309700
4/10/2006,6.797612407,6.859505202,6.619668929,6.640945,225878800
4/11/2006,6.671890994,6.701870696,6.486211943,6.575183,234829000
4/12/2006,6.577115291,6.592588484,6.411744984,6.451395,184973600
4/13/2006,6.415613241,6.521992212,6.364357483,6.428185,183669500
4/17/2006,6.432053612,6.463967369,6.223163807,6.26765,180484500
4/18/2006,6.289893757,6.428185826,6.265716253,6.404009,198711100
4/19/2006,6.462033876,6.479441138,6.331478739,6.348886,271508300
4/20/2006,6.722178575,6.769565534,6.40207493,6.540367,416745700
4/21/2006,6.594522795,6.638042296,6.428185111,6.483309,197246700
4/24/2006,6.464934294,6.471703858,6.334377823,6.358556,176757000
4/25/2006,6.378865302,6.439791396,6.34018197,6.399174,132265700
4/26/2006,6.445593675,6.603228438,6.421416846,6.590656,177721600
4/27/2006,6.55003793,6.756026329,6.513288667,6.707672,211486800
4/28/2006,6.709604987,6.895285337,6.692198406,6.807281,190009400
5/1/2006,6.844031563,6.918496792,6.688331537,6.730883,187595100
5/2/2006,6.784071129,6.961047197,6.780203676,6.926232,192915800
5/3/2006,6.946541965,6.958146355,6.786973143,6.879813,171747800
5/4/2006,6.88755131,7.049053552,6.814052764,6.878847,215105100
5/5/2006,6.949443241,6.987158523,6.880780213,6.952344,140977900
5/8/2006,7.058722987,7.13705634,6.935903433,6.952344,148712900
5/9/2006,6.945574971,7.017138763,6.82952565,6.869175,132916700
5/10/2006,6.89431896,6.898187089,6.731848714,6.82759,114972200
5/11/2006,6.845965449,6.85080095,6.532631341,6.590656,203172200
5/12/2006,6.56164082,6.642875579,6.465900241,6.547135,160443500
5/15/2006,6.515223606,6.612898961,6.491046779,6.555841,132294400
5/16/2006,6.585820696,6.600326521,6.261848238,6.284091,234185000
5/17/2006,6.257979848,6.353721134,6.196086389,6.311169,188548500
5/18/2006,6.351785245,6.407875823,6.104212807,6.110015,164610600
5/19/2006,6.11775221,6.274419564,6.075200759,6.238637,246466500
5/22/2006,6.176744957,6.188350023,6.070365977,6.129358,179743900
5/23/2006,6.272486691,6.304399778,6.092609175,6.107115,173603500
5/24/2006,6.091640502,6.155468016,5.953348457,6.125489,229007800
5/25/2006,6.214459436,6.232834063,6.120652916,6.221229,115843000
5/26/2006,6.219295513,6.243472335,6.106146985,6.145797,108237500
5/30/2006,6.120654193,6.121620887,5.920468,5.920468,140850500
5/31/2006,5.972690251,5.975591686,5.675796769,5.780241,320244400
6/1/2006,5.787977988,6.022978017,5.756064228,6.012341,235627000
6/2/2006,6.091642078,6.102280451,5.887588402,5.963021,171446800
6/5/2006,5.913699497,5.913699497,5.799583564,5.802485,151446400
6/6/2006,5.823762014,5.863411366,5.697073637,5.775407,181509300
6/7/2006,5.812155444,5.841168448,5.642916303,5.663225,187626600
6/8/2006,5.651620639,5.892423567,5.526867021,5.875983,349370700
